STU_ID,female,race,firstgen,prnt_female_edu,prnt_male_edu,prnt_female_occ,prnt_male_occ,self_concept_ability_math,math_teacher_gender,teach_math_9_12,teachers_high_standards,teacher_emphasize_interest,teacher_emphasize_prepare,teacher_emphasize_business,teacher_emphasize_standtest,math_mentor_pairing,math_afterschool_program,credits_stem,gpa_stem
10383,0,1,0,2,NA,0,0,1.5,1,3,1,4,2,4,4,NA,NA,4,3.5
10385,0,1,0,2,NA,0,1,2.25,1,2,2,3,4,3,3,NA,NA,4,3.5
10386,1,1,0,3,NA,0,1,2.5,0,1,1,4,4,2,3,1,1,4,3.5
10388,0,3,1,1,NA,0,0,3,0,2,2,2,3,3,2,0,1,1,0.5
10389,1,5,0,2,2,1,0,1,1,3,1,NA,NA,NA,NA,1,1,6,3.5
10390,0,1,0,3,NA,0,0,1.5,3,NA,NA,NA,NA,NA,NA,1,0,5,3
10392,1,5,0,2,2,0,0,1,1,3,1,3,4,3,3,0,1,2.5,2.5
10393,1,1,0,2,NA,0,0,2.5,3,NA,NA,NA,NA,NA,NA,1,1,4,3
10394,0,1,0,2,NA,0,0,1,0,2,2,3,4,2,3,0,0,4,2.5
10396,1,1,1,1,NA,0,0,1.25,1,3,2,3,4,4,3,0,0,3.5,4
10397,0,3,0,1,NA,0,0,1.5,0,2,1,4,4,4,3,0,0,2,1.5
10399,1,1,0,1,NA,0,0,3,1,3,1,3,4,2,4,NA,NA,3,2
10400,0,1,1,1,NA,0,0,1.5,1,3,1,3,4,3,2,1,1,4.5,4
10402,0,3,0,3,NA,0,0,1.5,3,NA,NA,NA,NA,NA,NA,NA,NA,4,2
10403,0,1,1,1,NA,0,0,2,3,NA,NA,NA,NA,NA,NA,0,1,2.5,1
10404,0,1,1,1,NA,0,0,1,0,3,NA,NA,NA,NA,NA,0,1,3,3
10405,0,1,1,1,NA,0,0,2,1,2,2,NA,NA,NA,NA,0,1,1,1.5
10406,1,1,1,1,NA,0,0,2.75,3,NA,NA,NA,NA,NA,NA,1,1,2,2
